iter	Logloss
0	0.5632444242
1	0.4736740084
2	0.4248241617
3	0.3894953735
4	0.3617653973
5	0.3291646835
6	0.3081566512
7	0.2915124015
8	0.277278168
9	0.2660871302
10	0.2583412781
11	0.245177808
12	0.236230152
13	0.2322984264
14	0.2259897161
15	0.2232904668
16	0.2177239814
17	0.2154053766
18	0.21462219
19	0.2117337426
20	0.2087636879
21	0.2070109959
22	0.2056552002
23	0.2031195664
24	0.2016684621
25	0.2003470157
26	0.1988053002
27	0.1976524142
28	0.196173807
29	0.1939104604
30	0.1927290471
31	0.1911079906
32	0.1897252522
33	0.1891110905
34	0.1881561618
35	0.1876168166
36	0.186553271
37	0.1855912359
38	0.1842891073
39	0.1834545351
40	0.1829821381
41	0.1819510152
42	0.1810800576
43	0.1807581754
44	0.1804049641
45	0.1790735396
46	0.1785162373
47	0.1781227478
48	0.1771200882
49	0.1766358374
50	0.1760259461
51	0.1757694685
52	0.1749966062
53	0.1743506296
54	0.1738418663
55	0.1733242298
56	0.1729061518
57	0.1726695274
58	0.1723559772
59	0.1717645161
60	0.1713744941
61	0.1709220303
62	0.1706759785
63	0.1701558392
64	0.1698471964
65	0.1694125769
66	0.1690509356
67	0.1686613849
68	0.1684247555
69	0.1681077009
70	0.1678029784
71	0.1675188001
72	0.1672466672
73	0.167059705
74	0.1668704337
75	0.1666460608
76	0.166326757
77	0.1661433815
