iter	Passed	Remaining
0	2219	552640
1	3999	495949
2	5768	474966
3	7537	463569
4	9445	462847
5	11295	459342
6	13051	453088
7	14913	451143
8	16834	450797
9	18632	447178
10	20351	442174
11	22101	438339
12	23861	435021
13	25619	431866
14	27542	431491
15	29270	428075
16	30892	423406
17	32584	419983
18	32592	396253
19	34269	394102
20	35868	391133
21	35986	372949
22	36206	357345
23	37878	356689
24	39633	356702
25	41454	357142
26	43182	356652
27	44911	356086
28	46625	355314
29	48346	354538
30	50287	355255
31	52321	356441
32	54149	356076
33	55905	355161
34	57752	354763
35	57876	344041
36	59817	344356
37	61356	342307
38	62802	339778
39	64327	337718
40	64359	328078
41	66012	326916
42	67529	325081
43	67732	317110
44	67939	309500
45	69541	308400
46	69557	300427
47	71173	299521
48	72820	298714
49	74311	297245
50	75811	295812
51	75828	288732
52	77462	287928
53	78964	286610
54	80449	285231
55	82128	284517
56	83626	283155
57	85204	282054
58	86828	281089
59	88540	280378
60	90199	279469
61	91682	278006
62	93216	276689
63	94722	275287
64	96270	274001
65	97807	272676
66	99377	271434
67	100966	270232
68	102728	269475
69	104465	268626
70	106076	267432
71	107670	266184
72	109112	264559
73	110743	263391
74	112178	261749
75	113627	260147
76	115016	258414
77	116622	257168
