iter	Logloss
0	0.5237360257
1	0.4378021238
2	0.3998686471
3	0.3441320454
4	0.3106394521
5	0.290341779
6	0.2765155849
7	0.2624696106
8	0.2524138098
9	0.2434762006
10	0.2363725012
11	0.2284300882
12	0.2204477686
13	0.2166253076
14	0.2111865396
15	0.2091889486
16	0.2053039792
17	0.2028158413
18	0.2013432764
19	0.1996362013
20	0.1974946466
21	0.196355497
22	0.1946658846
23	0.1938955562
24	0.1915902528
25	0.1903593697
26	0.1891885472
27	0.1879082733
28	0.1871329485
29	0.186084428
30	0.1858583452
31	0.185442435
32	0.1848706585
33	0.1840971562
34	0.1838027668
35	0.1834661014
36	0.1827681496
37	0.1825424161
38	0.182094062
39	0.1810904609
40	0.1805752712
41	0.1801505046
42	0.1797562608
43	0.1794106962
44	0.1791665012
45	0.1786479779
46	0.1780012246
47	0.1777794068
48	0.1776693921
49	0.17740795
50	0.1772285119
51	0.1763432844
52	0.1761864236
53	0.1760762557
54	0.1757500149
55	0.175330409
56	0.175081859
57	0.1749201945
58	0.1747391695
59	0.1745422948
60	0.1742964255
61	0.174030241
62	0.1736883322
63	0.1733100897
64	0.1731279207
65	0.1729614839
66	0.1727896819
67	0.1724634821
68	0.1721797325
69	0.1719181634
70	0.171769591
71	0.1716576863
