iter	Passed	Remaining
0	4679	1165267
1	8392	1040635
2	11882	978288
3	15027	924174
4	18696	916110
5	23445	953435
6	29067	1009053
7	32947	996648
8	36749	984070
9	40594	974260
10	43946	954836
11	47245	937039
12	50538	921355
13	54258	914637
14	57592	902283
15	60815	889419
16	64260	880745
17	67484	869797
18	67755	823762
19	71038	816946
20	74562	813083
21	77900	807335
22	81109	800514
23	84545	796134
24	87882	790941
25	91088	784761
26	94558	780984
27	97865	775931
28	101151	770842
29	102561	752117
30	102601	724826
31	106089	722737
32	109559	720436
33	112941	717511
34	113676	698301
35	117002	695516
36	120673	694687
37	120738	673593
38	124182	671860
39	127379	668741
40	130698	666242
41	134169	664456
42	137533	662081
43	140901	659676
44	144363	657656
45	147578	654477
46	151480	654268
47	155172	653019
48	158482	650100
49	161765	647060
50	161779	631257
51	165142	628813
52	168425	626033
53	171649	623024
54	175185	621113
55	178663	618943
56	182018	616309
57	185436	613860
58	188187	609216
59	191537	606536
60	194677	603180
61	198052	600544
62	202800	601964
63	206649	600575
64	210801	599974
65	214982	599345
66	219786	600312
67	223295	597644
68	226641	594522
69	229953	591309
70	233855	589580
71	237918	588186
